select customer_id, sum(amount),
Rank() OVER(ORDER BY sum(amount) desc) RankAmount
from payment
group by customer_id

148	211.55	1
526	208.58	2
178	194.61	3
137	191.62	4
144	189.60	5
459	183.63	6
181	167.67	7
410	167.62	8
236	166.61	9
403	162.67	10
522	161.68	11
469	158.65	12
470	157.69	13
373	156.66	14
259	154.70	15
468	154.66	16
462	152.69	17
372	152.68	18
187	151.73	19
550	151.69	20
176	151.68	21
532	149.69	22
75	149.61	23
209	147.71	24
86	146.68	25
26	146.68	26
21	146.68	27
211	146.67	28
346	145.70	29
366	145.64	30
50	144.70	31
360	144.68	32
348	144.66	33
513	143.70	34
454	143.68	35
347	142.70	36
390	142.69	37
267	142.67	38
257	142.66	39
39	141.71	40
78	141.69	41
362	140.69	42
363	139.72	43
368	139.69	44
119	139.69	45
66	139.67	46
237	138.69	47
29	138.65	48
87	137.72	49
80	137.70	50
439	137.67	51
558	135.72	52
494	135.70	53
576	135.68	54
591	134.73	55
467	134.72	56
479	134.71	57
210	134.70	58
120	134.70	59
204	134.69	60
15	134.68	61
5	134.65	62
349	133.72	63
404	133.71	64
172	133.70	65
197	133.68	66
265	132.72	67
533	132.70	68
380	132.65	69
472	131.74	70
13	131.73	71
46	131.69	72
125	131.69	73
3	130.76	74
273	130.72	75
7	130.72	76
502	130.70	77
566	130.68	78
342	130.68	79
112	129.72	80
560	129.71	81
102	129.70	82
168	129.68	83
484	128.73	84
103	128.71	85
242	128.71	86
84	128.70	87
196	128.69	88
448	127.73	89
221	127.73	90
520	127.69	91
141	127.69	92
38	127.66	93
200	126.74	94
206	126.73	95
146	126.73	96
436	126.73	97
108	126.72	98
114	126.70	99
426	125.74	100
482	125.74	101
295	125.72	102
147	125.68	103
354	125.67	104
45	124.74	105
89	124.71	106
198	124.68	107
129	124.66	108
2	123.74	109
300	123.74	110
506	123.72	111
371	123.71	112
51	123.70	113
27	123.70	114
30	123.66	115
434	122.74	116
92	122.74	117
535	122.72	118
163	122.71	119
244	122.70	120
473	122.69	121
508	121.77	122
166	121.73	123
497	121.73	124
451	121.70	125
438	121.70	126
406	121.69	127
491	120.75	128
423	120.74	129
179	120.74	130
499	120.71	131
122	120.70	132
59	119.76	133
389	119.75	134
487	119.74	135
306	119.72	136
207	119.72	137
82	118.76	138
41	118.75	139
589	118.75	140
565	118.73	141
128	118.70	142
35	118.70	143
230	118.69	144
583	117.77	145
285	117.77	146
585	117.76	147
504	117.75	148
421	117.75	149
573	117.72	150
49	116.76	151
149	116.75	152
253	116.74	153
274	116.73	154
263	116.73	155
71	116.72	156
356	116.71	157
512	115.74	158
56	115.74	159
529	115.72	160
393	115.71	161
158	115.70	162
279	114.76	163
54	114.74	164
584	114.73	165
262	114.73	166
107	114.72	167
388	114.72	168
1	114.70	169
433	113.77	170
309	113.75	171
266	113.74	172
302	113.74	173
139	113.73	174
569	113.73	175
416	113.72	176
314	113.71	177
260	113.70	178
540	112.76	179
582	112.76	180
63	112.75	181
32	112.74	182
131	112.73	183
485	112.72	184
453	111.77	185
337	111.76	186
225	111.76	187
577	111.74	188
173	111.73	189
579	111.73	190
113	111.73	191
186	111.71	192
592	111.71	193
42	111.71	194
531	110.77	195
258	110.76	196
495	110.76	197
515	110.74	198
154	110.73	199
213	110.73	200
559	110.72	201
90	110.72	202
595	110.71	203
241	110.68	204
170	109.77	205
536	109.77	206
575	109.76	207
220	109.75	208
16	109.75	209
538	109.73	210
376	109.73	211
447	109.73	212
386	109.72	213
446	109.72	214
481	109.72	215
424	109.71	216
284	108.78	217
594	108.77	218
590	108.76	219
277	108.76	220
